LDGS_NM,CTPRVN_NM,GUGUN_NM,LDGS_ADDR,PET_INFO_CN
휘닉스 제주 섭지 코지,제주,서귀포시,제주특별자치도 서귀포시 성산읍 섭지코지로 107,"['반려동물 동반 가능(반려견만 허용, 객실당 2마리, 1마리당 최대 10 kg)*', '특정 객실만*', '반려동물 감독 필수', '먹이/물 그릇, 오프리쉬(목줄 미착용) 구역 이용 가능']"
해비치 호텔 & 리조트 제주,제주,서귀포시,제주 서귀포시 표선면 민속해안로 537,['반려동물 동반 불가']
해운대 영무파라드 호텔,부산,해운대구,부산 해운대구 해운대해변로298번길 25,"['반려동물 동반 무료(반려견만 허용, 객실당 1마리, 1마리당 최대 10 kg)', '특정 객실만*', '반려동물 감독 필수']"
커넥트 부산 호텔 & 레지던스,부산,중구,부산 중구 대교로 115-1,['반려동물 동반 불가']
썬클라우드 호텔,부산,해운대구,부산 해운대구 해운대해변로 287,['반려동물 동반 불가']
엘리시아 부티크 호텔,부산,해운대구,부산 해운대구 구남로 49,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
하운드호텔 부산역,부산,동구,부산 동구 중앙대로236번길 9,['반려동물 동반 불가']
아시아호텔 제주,제주,제주시,제주특별자치도 제주시 노연로 53,['반려동물 동반 불가']
베스트 웨스턴 플러스 부산 송도,부산,서구,부산 서구 송도해변로 97,['반려동물 동반 불가']
더블린 호텔,부산,부산진구,부산 부산진구 서면로 29,['반려동물 동반 불가']
부산 서면 호텔 더 스위트,부산,부산진구,부산 부산진구 중앙대로691번가길 14-9,['반려동물 동반 불가']
넘버25 호텔 서면1번가점,부산,부산진구,부산 부산진구 부전동 522-24,['반려동물 동반 불가']
페어필드 바이 메리어트 부산 송도 비치,부산,서구,부산 서구 송도해변로 113,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
아스티호텔 부산역,부산,동구,부산 동구 중앙대로214번길 7-8,['반려동물 동반 불가']
티알티 호텔,부산,부산진구,부산 부산진구 부전로 33-1,['반려동물 동반 불가']
